
Position
====================
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
-56.1874885559082,-30.08991050720215,21.396520614624023,um,Spot,Position,1,0
-19.620845794677734,-59.31452560424805,29.453094482421875,um,Spot,Position,1,1
14.863719940185547,55.656986236572266,22.16936683654785,um,Spot,Position,1,2
55.42057800292969,28.445390701293945,-5.970865249633789,um,Spot,Position,1,3
-2.898087978363037,-6.902849197387695,45.04254913330078,um,Spot,Position,1,4
17.48402214050293,31.354494094848633,-56.08312225341797,um,Spot,Position,1,5
-54.43215560913086,6.64867639541626,-13.579451560974121,um,Spot,Position,1,6
9.961665153503418,-10.891427040100098,27.063047409057617,um,Spot,Position,1,7
53.19192886352539,26.358633041381836,19.20974349975586,um,Spot,Position,1,8
6.463006496429443,7.145836353302002,31.166486740112305,um,Spot,Position,1,9
-47.9840202331543,45.399166107177734,20.4252872467041,um,Spot,Position,1,10
-22.779176712036133,-57.83570861816406,14.622005462646484,um,Spot,Position,1,11
0.5781447291374207,27.940282821655273,-5.235600471496582,um,Spot,Position,1,12
37.10441970825195,-25.139345169067383,-50.81936264038086,um,Spot,Position,1,13
36.578617095947266,-50.55782699584961,14.904861450195312,um,Spot,Position,1,14
-47.41727066040039,19.68022918701172,-45.65800857543945,um,Spot,Position,1,15
-8.253403663635254,-30.825353622436523,-2.4695935249328613,um,Spot,Position,1,16
23.137882232666016,27.566688537597656,58.02679443359375,um,Spot,Position,1,17
-11.425118446350098,-7.376732349395752,-21.590129852294922,um,Spot,Position,1,18
-27.396032333374023,-51.53385925292969,-35.283409118652344,um,Spot,Position,1,19
24.498014450073242,42.713504791259766,40.590030670166016,um,Spot,Position,1,20
-4.117145538330078,-11.344003677368164,34.43738555908203,um,Spot,Position,1,21
-49.143489837646484,-17.95897102355957,21.59476661682129,um,Spot,Position,1,22
48.13724136352539,18.473310470581055,-44.414817810058594,um,Spot,Position,1,23
39.00785827636719,-7.758522987365723,33.56534957885742,um,Spot,Position,1,24
-6.791668891906738,-41.16287612915039,39.13163375854492,um,Spot,Position,1,25
4.752397537231445,25.042095184326172,-39.59898376464844,um,Spot,Position,1,26
-49.42604064941406,27.786922454833984,3.034076690673828,um,Spot,Position,1,27
-13.956452369689941,-11.99083137512207,-20.93057632446289,um,Spot,Position,1,28
54.381927490234375,14.135218620300293,-36.942596435546875,um,Spot,Position,1,29
28.45400047302246,4.059525489807129,-47.72996520996094,um,Spot,Position,1,30
23.0201358795166,-39.30894470214844,-12.678295135498047,um,Spot,Position,1,31
-18.383392333984375,23.9697322845459,26.643089294433594,um,Spot,Position,1,32
20.772401809692383,20.6217098236084,-30.872146606445312,um,Spot,Position,1,33
-35.6630973815918,-38.647945404052734,32.088592529296875,um,Spot,Position,1,34
-32.77824783325195,48.777645111083984,-6.166103839874268,um,Spot,Position,1,35
26.828275680541992,18.578536987304688,-36.676570892333984,um,Spot,Position,1,36
-28.014530181884766,-44.283382415771484,-6.7145233154296875,um,Spot,Position,1,37
-49.39331817626953,-14.082282066345215,-8.201484680175781,um,Spot,Position,1,38
2.596989631652832,-17.657007217407227,20.32444953918457,um,Spot,Position,1,39
-4.833636283874512,48.665279388427734,6.420327186584473,um,Spot,Position,1,40
44.08613204956055,27.70160675048828,15.748786926269531,um,Spot,Position,1,41
