
Position
====================
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
8.179285049438477,-2.9399573802948,57.80144500732422,um,Spot,Position,1,0
0.5557928681373596,-26.687421798706055,55.000091552734375,um,Spot,Position,1,1
48.268211364746094,-1.9166259765625,44.87266540527344,um,Spot,Position,1,2
-17.423023223876953,30.13949203491211,25.507535934448242,um,Spot,Position,1,3
-34.170989990234375,-44.59044647216797,-41.99542236328125,um,Spot,Position,1,4
-10.665345191955566,-4.815646171569824,46.25381851196289,um,Spot,Position,1,5
56.967933654785156,-20.12311553955078,29.452999114990234,um,Spot,Position,1,6
32.30708312988281,37.10422897338867,-4.9434356689453125,um,Spot,Position,1,7
5.514529228210449,56.76881790161133,28.075023651123047,um,Spot,Position,1,8
-35.49427032470703,41.94230651855469,-11.148238182067871,um,Spot,Position,1,9
18.457120895385742,13.740201950073242,14.515164375305176,um,Spot,Position,1,10
-34.38825225830078,17.43134307861328,4.637868881225586,um,Spot,Position,1,11
-36.09437561035156,-20.850215911865234,18.297908782958984,um,Spot,Position,1,12
27.517915725708008,-49.42092514038086,-32.2451057434082,um,Spot,Position,1,13
16.751420974731445,-17.104177474975586,-13.456086158752441,um,Spot,Position,1,14
-30.882524490356445,-18.0636043548584,-25.903921127319336,um,Spot,Position,1,15
22.81562042236328,-14.449173927307129,32.35803985595703,um,Spot,Position,1,16
-45.11442565917969,3.3296408653259277,-5.780885219573975,um,Spot,Position,1,17
33.00900650024414,-13.48133373260498,31.439651489257812,um,Spot,Position,1,18
-16.440279006958008,-44.68235778808594,-41.67317199707031,um,Spot,Position,1,19
14.228203773498535,38.90116882324219,34.50882339477539,um,Spot,Position,1,20
-4.20073127746582,35.1530647277832,43.9105339050293,um,Spot,Position,1,21
9.18841552734375,18.610050201416016,61.04841613769531,um,Spot,Position,1,22
-3.8321406841278076,5.04663610458374,30.661319732666016,um,Spot,Position,1,23
13.290657043457031,-55.250553131103516,26.351160049438477,um,Spot,Position,1,24
17.493783950805664,32.78977584838867,25.103376388549805,um,Spot,Position,1,25
55.69748306274414,-27.679275512695312,-27.165752410888672,um,Spot,Position,1,26
52.73461151123047,-44.654361724853516,7.321845054626465,um,Spot,Position,1,27
